Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,ROBMAN4,152.625000,,0.000000,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
1,NOP1,146.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,NOP2,146.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,NOP3,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,PMR 01,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,PMR 02,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,PMR 03,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,PMR 04,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,PMR 05,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,PMR 06,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,PMR 07,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,PMR 08,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,PMR 09,446.106250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,PMR 10,446.118750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,PMR 11,446.131250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,PMR 12,446.143750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,PMR 13,446.156250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,PMR 14,446.168750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
18,PMR 15,446.181250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
19,PMR 16,446.193750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
20,VCASTE,438.650000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
21,LISBOA,438.650000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
22,CHAVES,438.675000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
23,FOIA,438.675000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
24,AMARAN,438.700000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
25,BUCACO,438.700000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
26,OLHAO,438.700000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
27,CANDIE,438.725000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
28,CASCAI,438.725000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
29,TVEDRA,438.750000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
30,MAMEDE,438.750000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
31,COIMBR,438.775000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
32,BRAGA,438.775000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
33,SDAIRE,438.800000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
34,AMADOR,438.800000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
35,ESTREL,438.825000,-,7.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
36,LOUSA,438.850000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
37,AZEMEI,438.875000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
38,SDAIRE,438.875000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
39,ODIVEL,438.875000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
40,COTA,438.900000,-,7.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
41,FIGFOZ,438.900000,-,7.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
42,SMARAO,438.925000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
43,SCACEM,438.925000,-,7.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
44,FARO,438.925000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
45,ARESTA,438.950000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
46,ESTREM,438.950000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
47,VISEU,438.975000,-,7.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
48,MONTEJ,438.975000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
49,URRA,439.020000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
50,ALMADA,439.025000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
51,ESTREL,439.050000,-,7.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
52,CARVALH,439.050000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
53,SANTAR,439.075000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
54,GUIMAR,439.100000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
55,GARDUN,439.100000,-,7.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
56,ODIVEL,439.100000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
57,GONDOM,439.125000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
58,SINTR2,439.125000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
59,TOMAR,439.175000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
60,LOURES,439.175000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
61,OBIDOS,439.200000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
62,STIRSO,439.200000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
63,CARAMUL,439.250000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
64,CANDEEI,439.250000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
65,BALTAR,439.275000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
66,MAMEDE,439.275000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
67,SINTRA,439.275000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
68,COTAO,439.325000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
69,VIALON,439.325000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
70,MONTEJ,439.350000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
71,MONTEM,439.350000,-,7.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
72,OLHAO,439.375000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
73,AZEMEI,439.400000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
74,ARRABI,439.400000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
75,PORTO,439.425000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
76,CRAINHA,439.425000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
77,FOIA,439.425000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
78,FUNCHAL,438.650000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
79,CLOBOS,438.700000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
80,SMARIA,438.650000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
81,TERCEI,438.725000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
82,SMIGUE,438.750000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
83,SMIGUE,438.775000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
84,SMIGUE,438.825000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
85,SMIGUE,438.900000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
86,FRS1-CA,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
87,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
88,FRS3-PR,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
89,FRS4-PR,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
90,FRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
91,FRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
92,FRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
93,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
94,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
95,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
96,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
97,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
98,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
99,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
100,FRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
101,FRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
102,FRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
103,FRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
104,FRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
105,FRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
106,FRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
107,VHF-EST,145.600000,-,0.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
108,VHF-CAS,145.600000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
109,VHF-LIS,145.625000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
110,VHF-GAR,145.637500,-,0.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
111,VHF-FOI,145.650000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
112,VHF-ODI,145.675000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
113,VHF-LOU,145.675000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
114,VHF-ENT,145.687500,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
115,VHF-LOU,145.700000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
116,VHF-SIN,145.712500,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
117,VHF-ARR,145.737500,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
118,VHF-MON,145.750000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
119,VHF-AMA,145.775000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
120,VHF-DES,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
122,P4-14-D,446.043750,-,5.000000,TSQL,107.2,107.2,023,NN,NFM,5.00,,,,,,
125,EM-FAP,147.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
126,EM-PMR8,446.093750,,0.000000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
127,EM-FRS2,462.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
